date,station,title,url,target
2020-01-12,한국경제,[인사] KB금융지주·국민은행 ; 그랜드코리아레저 ; 인사혁신처 등,https://www.hankyung.com/society/article/2020011210771,KB금융지주
2020-01-12,디지털타임스,[인사] KB금융지주·KB국민은행,http://www.dt.co.kr/contents.html?article_no=2020011302102119807010,KB금융지주
2020-01-20,파이낸셜뉴스,"M&A 뛰어든 KB금융지주, 1%대 회사채 조달 확대",https://www.fnnews.com/news/202001201823257734,KB금융지주
2020-02-06,비즈니스포스트,"KB금융지주 작년 순이익 3조 넘어서, KB증권 좋고 KB손해보험 ...",http://m.businesspost.co.kr/BP?command=mobile_view&num=162676,KB금융지주
2020-02-06,한국금융신문,"신한, 작년 금융지주 순익 리딩 지켜…은행은 KB가 앞서",https://www.fntimes.com/html/view.php?ud=202002062102285312179ad43907_18,KB금융지주
2020-02-17,녹색경제신문,"KB금융지주, 4000억 규모 후순위채 발행",http://www.greened.kr/news/articleView.html?idxno=237829,KB금융지주
2020-02-18,매일경제,"KB금융, 4천억 후순위債 금융지주 최저 금리 발행",https://www.mk.co.kr/news/economy/view/2020/02/168198/,KB금융지주
2020-02-18,비즈니스포스트,"KB금융지주 후순위채권 4천억 발행 성공, 금융지주 설립 이후 처음",http://m.businesspost.co.kr/BP?command=mobile_view&num=164519,KB금융지주
2020-02-21,NSP통신,"[금융업계기상도]KB금융‧농협금융지주 '비 온 뒤 갬', 우리금융 ...",http://www.nspna.com/news/?mode=view&newsid=412584,KB금융지주
2020-02-27,NSP통신,[업앤다운]은행주 상승…KB금융↑‧DGB금융지주↓,http://www.nspna.com/news/?mode=view&newsid=413800,KB금융지주
2020-03-03,매일경제,윤종규 KB금융지주 회장…코로나 비상경영委 신설,https://www.mk.co.kr/news/economy/view/2020/03/223444/,KB금융지주
2020-03-04,한국경제,"엔씨소프트, 시총 15조원 돌파…KB금융·신한지주 넘어서나",https://www.hankyung.com/finance/article/202003045621i,KB금융지주
2020-03-05,데일리팝,[금융 단신] KB국민은행·신한금융지주·하나은행 外,https://www.dailypop.kr/news/articleView.html?idxno=43853,KB금융지주
2020-03-12,청년일보,“ESG 투자자들 잡아라”...KB금융지주 'ESG 경영' 속도낸다,http://www.youthdaily.co.kr/news/article.html?no=31599,KB금융지주
2020-03-13,청년일보,[오늘의 토막뉴스] “ESG 투자자들 잡아라”...KB금융지주 'ESG ...,http://www.youthdaily.co.kr/news/article.html?no=31699,KB금융지주
